EPISODE_ID,EVENT_ID,EVENT_TYPE,EPISODE_NARRATIVE,EVENT_NARRATIVE,YEAR,text,group_id,labels
129457,775595,Flash Flood,Training thunderstorms produced flash flooding across portions of the Northern Outer Banks during the afternoon hours.,NC DOT traffic camera indicates westbound lanes of Colington Road at the intersection with U.S. 158 is closed to traffic due to high water covering the road.,2018,Episode context: Training thunderstorms produced flash flooding across portions of the Northern Outer Banks during the afternoon hours. Event report: NC DOT traffic camera indicates westbound lanes of Colington Road at the intersection with U.S. 158 is closed to traffic due to high water covering the road.,episode_129457,1
188489,1158496,Winter Storm,"A potent shortwave trough analyzed on the morning of the 11th amplified and ejected out into the Plains that afternoon. Strong surface cyclogenesis in the central High Plains developed a deep surface low in eastern Colorado on the morning of the 11th. Over the course of the day, this surface low moved southeast into the southern Plains as a strong arctic cold front pushed south across the central Plains and the Midwest. |By 19Z on the 11th, areas of snow began to work its way into eastern Nebraska from the west. Moderate to heavy snow became widespread across eastern Nebraska and southwestern Iowa by 00Z on the 12th with several town and cities declaring snow emergencies for the 12th and the 13th. Heavy snow and gusty winds persisted through the overnight hours into the 12th with many road across eastern Nebraska and western Iowa becoming impassible. The Nebraska Department of Transportation reported over 100 stranded drivers by the afternoon of the 12th with sections of I-80 closing due to blowing and drifting snow. While dry air worked into southeast Nebraska temporarily ending snow between 11Z and 16Z on the 12th, snow redeveloped across the entire region on the back side of the system bringing continued near-blizzard conditions region-wide into the night of the 12th. Snow ended across the region from west to east between 00Z and 06Z on the 13th. However, strong winds gusting from 30 to 50 miles per hour continued to bring blowing and drifting snow, and near-blizzard conditions across much of eastern Nebraska and southwestern Iowa for an additional 18 to 24 hours after snow had stopped falling. This resulted in great difficulty in measuring snowfall totals for this event.",An estimated 5 to 7 inches of snow fell across the county from this winter storm. Snowfall estimates were interpolated between public reports from adjacent counties. Peak wind gusts across the county were estimated to have ranged between 35 and 45 miles per hour. This included a 44 miles per hour wind gust measured at the Wayne Municipal Airport. Strong and gusty winds brought periods of near-blizzard conditions across the county throughout this event. Significant blowing and drifting snow continued well after the snow stopped falling due to persistent strong wind on the back side of the storm system.,2024,"Episode context: A potent shortwave trough analyzed on the morning of the 11th amplified and ejected out into the Plains that afternoon. Strong surface cyclogenesis in the central High Plains developed a deep surface low in eastern Colorado on the morning of the 11th. Over the course of the day, this surface low moved southeast into the southern Plains as a strong arctic cold front pushed south across the central Plains and the Midwest. |By 19Z on the 11th, areas of snow began to work its way into eastern Nebraska from the west. Moderate to heavy snow became widespread across eastern Nebraska and southwestern Iowa by 00Z on the 12th with several town and cities declaring snow emergencies for the 12th and the 13th. Heavy snow and gusty winds persisted through the overnight hours into the 12th with many road across eastern Nebraska and western Iowa becoming impassible. The Nebraska Department of Transportation reported over 100 stranded drivers by the afternoon of the 12th with sections of I-80 closing due to blowing and drifting snow. While dry air worked into southeast Nebraska temporarily ending snow between 11Z and 16Z on the 12th, snow redeveloped across the entire region on the back side of the system bringing continued near-blizzard conditions region-wide into the night of the 12th. Snow ended across the region from west to east between 00Z and 06Z on the 13th. However, strong winds gusting from 30 to 50 miles per hour continued to bring blowing and drifting snow, and near-blizzard conditions across much of eastern Nebraska and southwestern Iowa for an additional 18 to 24 hours after snow had stopped falling. This resulted in great difficulty in measuring snowfall totals for this event. Event report: An estimated 5 to 7 inches of snow fell across the county from this winter storm. Snowfall estimates were interpolated between public reports from adjacent counties. Peak wind gusts across the county were estimated to have ranged between 35 and 45 miles per hour. This included a 44 miles per hour wind gust measured at the Wayne Municipal Airport. Strong and gusty winds brought periods of near-blizzard conditions across the county throughout this event. Significant blowing and drifting snow continued well after the snow stopped falling due to persistent strong wind on the back side of the storm system.",episode_188489,7
127753,768552,Thunderstorm Wind,"Scattered to numerous showers and thunderstorms occurred across the area.  This was an unusual, well organized severe weather event given the time of year.  The threat for some type of severe weather during the July 21-22 period was well advertised by the models a few days in advance, although the exact times of day that would be affected varied from run to run.  A special 18z KTAE sounding from July 22 revealed SBCAPE around 4500 j/kg with 0-6 km shear of 34 knots, which is unusually high for summer.  Some mid-level dry air also contributed to a favorable environment for damaging wind.  The end result was numerous reports of severe weather across the region.",Power lines were blown down in a yard at 5407 Highway 111.,2018,"Episode context: Scattered to numerous showers and thunderstorms occurred across the area. This was an unusual, well organized severe weather event given the time of year. The threat for some type of severe weather during the July 21-22 period was well advertised by the models a few days in advance, although the exact times of day that would be affected varied from run to run. A special 18z KTAE sounding from July 22 revealed SBCAPE around 4500 j/kg with 0-6 km shear of 34 knots, which is unusually high for summer. Some mid-level dry air also contributed to a favorable environment for damaging wind. The end result was numerous reports of severe weather across the region. Event report: Power lines were blown down in a yard at 5407 Highway 111.",episode_127753,4
183262,1119620,Drought,"Hot and dry conditions continued during the month of August across northern and central New Mexico. The lack of monsoon showers and storms allowed drought conditions to continue to deteriorate areawide with most of the region under severe to extreme drought, outside of parts of west central New Mexico and most of northeast New Mexico.",A continuation of a dry monsoon season and above normal temperatures allowed for the eastward expansion of severe drought conditions into the zone.,2023,"Episode context: Hot and dry conditions continued during the month of August across northern and central New Mexico. The lack of monsoon showers and storms allowed drought conditions to continue to deteriorate areawide with most of the region under severe to extreme drought, outside of parts of west central New Mexico and most of northeast New Mexico. Event report: A continuation of a dry monsoon season and above normal temperatures allowed for the eastward expansion of severe drought conditions into the zone.",episode_183262,0
189891,1173426,Hail,"Two rounds of severe thunderstorms occurred on May 8, 2024. The first round occurred during the morning and early afternoon hours as a surface low pressure system approached the area from the southwest, pushing a strong frontal boundary and shortwave energy/lift into the region. For this round, thunderstorms were more elevated in nature, producing hail up to golf ball size, damaging winds, and flash flooding due to heavy rain.||The second round of severe thunderstorms occurred during the mid-afternoon and evening hours as stronger lift approached the frontal boundary and additional thunderstorms developed along the front. Supercells produced hail up to 4 inches in diameter, widespread wind damage, flash flooding, and an EF-1 tornado in Barry and Lawrence counties.",Report of hail 3 inches in diameter at the Lake Regional Clinic.,2024,"Episode context: Two rounds of severe thunderstorms occurred on May 8, 2024. The first round occurred during the morning and early afternoon hours as a surface low pressure system approached the area from the southwest, pushing a strong frontal boundary and shortwave energy/lift into the region. For this round, thunderstorms were more elevated in nature, producing hail up to golf ball size, damaging winds, and flash flooding due to heavy rain.||The second round of severe thunderstorms occurred during the mid-afternoon and evening hours as stronger lift approached the frontal boundary and additional thunderstorms developed along the front. Supercells produced hail up to 4 inches in diameter, widespread wind damage, flash flooding, and an EF-1 tornado in Barry and Lawrence counties. Event report: Report of hail 3 inches in diameter at the Lake Regional Clinic.",episode_189891,3
147028,890611,Tornado,Storms initiated along a warm front amid strong instability and enough shear for multiple storms producing very large hail up to the size of baseballs and a few brief tornadoes on the evening of the 21st.,"This tornado moved east from Comanche County into Grady County. Immediately upon moving into Grady County, a mobile home was struck and heavily damaged on the east side of County Road 2750 (which is the county line). No other damage is known to have occurred.",2020,"Episode context: Storms initiated along a warm front amid strong instability and enough shear for multiple storms producing very large hail up to the size of baseballs and a few brief tornadoes on the evening of the 21st. Event report: This tornado moved east from Comanche County into Grady County. Immediately upon moving into Grady County, a mobile home was struck and heavily damaged on the east side of County Road 2750 (which is the county line). No other damage is known to have occurred.",episode_147028,5
167207,1023224,Tornado,"A severe quasi-linear convective system (QLCS) moved through southeast South Carolina during the afternoon into early evening hours of April 5, 2022 as a mid-level shortwave ejected rapidly across the region in advance of a surface cold front. The environment ahead of the QLCS was favorable for severe local storms as southerly winds spread mid 60 dewpoint temperatures into a warm sector across the Southeast United States and favorable mid-level lapse rates and lifted index values helped produce mixed layer convective available potential energy (MLCAPE) as high as 1500-2000 J/kg during peak surface heating across southeast South Carolina. Within the warm sector, strong shear associated with 50-70 knot low and mid-level jets beneath the left front quadrant of a 120 knot upper-level jet, 0-6 km bulk shear around 50 knots, and 0-3 km storm relative helicity in excess of 300 m2/s2 were supportive of well organized convection and potentially embedded supercell thunderstorms in a QLCS capable of producing a prolonged path of damaging winds and strong long-track tornadoes. As the QLCS swept through southeast South Carolina, a few discrete supercell thunderstorms became exceptionally strong near or just ahead of the main line of thunderstorms, producing damaging winds, moderate size hail, and strong tornadoes.||A total of 5 confirmed tornadoes occurred across southeast South Carolina in the Charleston County Warning Area, including two long track EF-3 tornadoes, one which developed in Allendale County southwest of Allendale, SC and ended near Sycamore, SC with an approximately 13.3 mile path, and a second tornado which began in Allendale County near Ulmar, SC, then crossed into the Columbia County Warning Area in Bamberg County at peak strength, before continuing and ending in Orangeburg County with an approximately 34.8 mile path. The South Carolina Forestry Commission estimated 3,389 forest acres damaged by strong winds and tornadoes in Allendale County alone during the severe weather outbreak.","A National Weather Service Storm Survey Team confirmed an EF-0 tornado with an estimated maximum wind speed of 82 mph in Hampton County, South Carolina. The weak tornado initially touched down just west of Pepper Street, then tracked northeast across U.S. 278, snapping and uprooting trees and causing minor roof damage to one home near the intersection of Oak Street and Howard Street. The tornado then continued a northeast path across a mostly wooded area, where it snapped and uprooted trees, before ending in an open field just east of the intersection of Papas Road and Mill Pond Road, where it snapped and uprooted a few more trees, overturned utility trailers, and threw a small grain bin.",2022,"Episode context: A severe quasi-linear convective system (QLCS) moved through southeast South Carolina during the afternoon into early evening hours of April 5, 2022 as a mid-level shortwave ejected rapidly across the region in advance of a surface cold front. The environment ahead of the QLCS was favorable for severe local storms as southerly winds spread mid 60 dewpoint temperatures into a warm sector across the Southeast United States and favorable mid-level lapse rates and lifted index values helped produce mixed layer convective available potential energy (MLCAPE) as high as 1500-2000 J/kg during peak surface heating across southeast South Carolina. Within the warm sector, strong shear associated with 50-70 knot low and mid-level jets beneath the left front quadrant of a 120 knot upper-level jet, 0-6 km bulk shear around 50 knots, and 0-3 km storm relative helicity in excess of 300 m2/s2 were supportive of well organized convection and potentially embedded supercell thunderstorms in a QLCS capable of producing a prolonged path of damaging winds and strong long-track tornadoes. As the QLCS swept through southeast South Carolina, a few discrete supercell thunderstorms became exceptionally strong near or just ahead of the main line of thunderstorms, producing damaging winds, moderate size hail, and strong tornadoes.||A total of 5 confirmed tornadoes occurred across southeast South Carolina in the Charleston County Warning Area, including two long track EF-3 tornadoes, one which developed in Allendale County southwest of Allendale, SC and ended near Sycamore, SC with an approximately 13.3 mile path, and a second tornado which began in Allendale County near Ulmar, SC, then crossed into the Columbia County Warning Area in Bamberg County at peak strength, before continuing and ending in Orangeburg County with an approximately 34.8 mile path. The South Carolina Forestry Commission estimated 3,389 forest acres damaged by strong winds and tornadoes in Allendale County alone during the severe weather outbreak. Event report: A National Weather Service Storm Survey Team confirmed an EF-0 tornado with an estimated maximum wind speed of 82 mph in Hampton County, South Carolina. The weak tornado initially touched down just west of Pepper Street, then tracked northeast across U.S. 278, snapping and uprooting trees and causing minor roof damage to one home near the intersection of Oak Street and Howard Street. The tornado then continued a northeast path across a mostly wooded area, where it snapped and uprooted trees, before ending in an open field just east of the intersection of Papas Road and Mill Pond Road, where it snapped and uprooted a few more trees, overturned utility trailers, and threw a small grain bin.",episode_167207,5
183333,1125297,Thunderstorm Wind,"Even though an old outflow boundary was across southeast Missouri and the far southern portions of Illinois during the morning hours, the boundary dissipated, allowing 75+ dew points to surge north along the Mississippi River. As skies cleared the atmosphere was able to quickly destabilize. Surface based CAPEs were in excess of 3000 J/kg with 40kts of 0 to 6km bulk shear. This combined with a shortwave trough that moved eastward across the region, produced strong to severe storms. There were numerous reports of damaging winds and some reports of large hail. There were three fatalities due to fallen trees.","Widespread wind damage occurred along the I-270 corridor in St. Louis County between Kirkwood and Saint Ann. Numerous tree limbs were blown down in Kirkwood, Creve Coeur, Maryland Heights, Woodson Terrace and Saint Ann.",2023,"Episode context: Even though an old outflow boundary was across southeast Missouri and the far southern portions of Illinois during the morning hours, the boundary dissipated, allowing 75+ dew points to surge north along the Mississippi River. As skies cleared the atmosphere was able to quickly destabilize. Surface based CAPEs were in excess of 3000 J/kg with 40kts of 0 to 6km bulk shear. This combined with a shortwave trough that moved eastward across the region, produced strong to severe storms. There were numerous reports of damaging winds and some reports of large hail. There were three fatalities due to fallen trees. Event report: Widespread wind damage occurred along the I-270 corridor in St. Louis County between Kirkwood and Saint Ann. Numerous tree limbs were blown down in Kirkwood, Creve Coeur, Maryland Heights, Woodson Terrace and Saint Ann.",episode_183333,4
182045,1111912,Hail,"After a period of quiet weather, several days of strong to severe thunderstorms occurred during the latter part of July. Chinook was struck the hardest with up to baseball size hail resulting in significant vehicle and structural damage. Harlem and Fort Belknap also received severe hail. Additional severe storms impacted the east side of Great Falls, Belt, and Lewistown with large hail being reported in all three locations.",Pictures submitted of hail in Lewistown slightly larger than one inch.,2023,"Episode context: After a period of quiet weather, several days of strong to severe thunderstorms occurred during the latter part of July. Chinook was struck the hardest with up to baseball size hail resulting in significant vehicle and structural damage. Harlem and Fort Belknap also received severe hail. Additional severe storms impacted the east side of Great Falls, Belt, and Lewistown with large hail being reported in all three locations. Event report: Pictures submitted of hail in Lewistown slightly larger than one inch.",episode_182045,3
180092,1097178,Tornado,"A supercell embedded within a line of thunderstorms associated with a mesoscale convective complex moving across southwest Florida produces a brief tornado on Pine Island in Lee County, while flooding reported around Cape Coral in Lee County.","A virtual survey using several photos captured from the area suggests that the only damage was done to a recently-constructed metal outdoor freezer. This freezer was complete, properly secured, and was made of aluminum and insulated with Styrofoam. |While some fence damage was noted, this damage could not be reliably attributed to the tornado, given a lack of nearby tree damage and little-to-debris. Imagery from the area also shows some damage to this fence before the tornado took place. As such, the |tornado was on the ground for approximately 27 feet (or 0.005 mi) and spent only a few brief seconds on the ground before lifting again.",2023,"Episode context: A supercell embedded within a line of thunderstorms associated with a mesoscale convective complex moving across southwest Florida produces a brief tornado on Pine Island in Lee County, while flooding reported around Cape Coral in Lee County. Event report: A virtual survey using several photos captured from the area suggests that the only damage was done to a recently-constructed metal outdoor freezer. This freezer was complete, properly secured, and was made of aluminum and insulated with Styrofoam. |While some fence damage was noted, this damage could not be reliably attributed to the tornado, given a lack of nearby tree damage and little-to-debris. Imagery from the area also shows some damage to this fence before the tornado took place. As such, the |tornado was on the ground for approximately 27 feet (or 0.005 mi) and spent only a few brief seconds on the ground before lifting again.",episode_180092,5
167363,1015613,Thunderstorm Wind,"On Wednesday 03/30/2022 a strong shortwave trough and cold front moved across the region. Strong gradient winds occurred before the cold front moved across the area. Severe thunderstorms, flooding and tornadoes occurred. Damage was reported across the area.",Numerous trees and power lines were knocked down in Whiteville.,2022,"Episode context: On Wednesday 03/30/2022 a strong shortwave trough and cold front moved across the region. Strong gradient winds occurred before the cold front moved across the area. Severe thunderstorms, flooding and tornadoes occurred. Damage was reported across the area. Event report: Numerous trees and power lines were knocked down in Whiteville.",episode_167363,4
197779,1223173,Drought,"Most areas in the region received well above normal precipitation in November.  This lead to some improvements in drought conditions, especially across Sierra and northern Otero counties.",Severe(D2) drought continued for the entire zone in November.,2024,"Episode context: Most areas in the region received well above normal precipitation in November. This lead to some improvements in drought conditions, especially across Sierra and northern Otero counties. Event report: Severe(D2) drought continued for the entire zone in November.",episode_197779,0
194428,1210551,Flood,"Despite a somewhat nebulous synoptic regime, with modest zonal upper flow across the southern Plains, widespread thunderstorm development emerged during the early morning of the 11th. Thunderstorm development was fostered by a strong isentropic regime across portions of central Oklahoma. Repeated rounds of heavy rain led to widespread flash flooding in a narrow corridor from west-central into central Oklahoma, including southern portions of the Oklahoma City Metropolitan area. A downburst wind event was also observed south of the Lake Thunderbird area of Cleveland County near daybreak.",Social media video showing roadway flooding along portions of Porter Avenue north of Tecumseh Road. Event time is approximate.,2024,"Episode context: Despite a somewhat nebulous synoptic regime, with modest zonal upper flow across the southern Plains, widespread thunderstorm development emerged during the early morning of the 11th. Thunderstorm development was fostered by a strong isentropic regime across portions of central Oklahoma. Repeated rounds of heavy rain led to widespread flash flooding in a narrow corridor from west-central into central Oklahoma, including southern portions of the Oklahoma City Metropolitan area. A downburst wind event was also observed south of the Lake Thunderbird area of Cleveland County near daybreak. Event report: Social media video showing roadway flooding along portions of Porter Avenue north of Tecumseh Road. Event time is approximate.",episode_194428,2
135262,811364,Flash Flood,"A stationary frontal boundary stalled near the Tennessee Valley for nearly a week in mid to late February 2019. Persistent southwest flow aloft brought copious amounts of Gulf of Mexico moisture northward and interacted with this boundary for many days, causing a prolonged period of heavy rain and flooding throughout Middle Tennessee from Tuesday, February 19 through early Sunday, February 24. Due to the heavy rainfall that had already fallen earlier in the month along with the already unusually wet winter season so far, widespread flash flooding and river flooding resulted, with dozens of water rescues being conducted and numerous homes and businesses flooded. This flood event was considered the worst in Middle Tennessee since the historic flood of May 2010, and damage from the flash flooding and river flooding resulted in a Presidential Disaster Declaration being declared for many Middle Tennessee counties on April 17, 2019. In addition, the heavy rainfall throughout February 2019 set new monthly rainfall records at many locations, including Nashville and Crossville, both of which saw over a foot of rain. By the end of the month, nearly the entire state of Tennessee had received between 10 and 20 of rain for February 2019.",Maury County Emergency Management assisted Hickman County Emergency Management in a water rescue of a woman from a vehicle stranded in Mill Creek near Wrigley. Highway 438 in Coble was also flooded and closed.,2019,"Episode context: A stationary frontal boundary stalled near the Tennessee Valley for nearly a week in mid to late February 2019. Persistent southwest flow aloft brought copious amounts of Gulf of Mexico moisture northward and interacted with this boundary for many days, causing a prolonged period of heavy rain and flooding throughout Middle Tennessee from Tuesday, February 19 through early Sunday, February 24. Due to the heavy rainfall that had already fallen earlier in the month along with the already unusually wet winter season so far, widespread flash flooding and river flooding resulted, with dozens of water rescues being conducted and numerous homes and businesses flooded. This flood event was considered the worst in Middle Tennessee since the historic flood of May 2010, and damage from the flash flooding and river flooding resulted in a Presidential Disaster Declaration being declared for many Middle Tennessee counties on April 17, 2019. In addition, the heavy rainfall throughout February 2019 set new monthly rainfall records at many locations, including Nashville and Crossville, both of which saw over a foot of rain. By the end of the month, nearly the entire state of Tennessee had received between 10 and 20 of rain for February 2019. Event report: Maury County Emergency Management assisted Hickman County Emergency Management in a water rescue of a woman from a vehicle stranded in Mill Creek near Wrigley. Highway 438 in Coble was also flooded and closed.",episode_135262,1
128458,771050,Flash Flood,"Heavy rain with little, if any, lightning moved along a stationary front in a tropical environment.  Moisture was plentiful, with precipitable water values of over 2 inches.  Rainfall totals reached levels that were 350% of flash flood guidance, with 1-hour rainfall totals approaching levels that were 350% above guidance and had a 0.5% annual occurrence probability.  Allegheny County activated their EOC due to the flooding and severe weather. Numerous flooding incidents were reported, and approximately 66 water rescues were needed throughout the county. Flooding damaged a number of basement foundations. Bethel Park partially activated their EOC for massive flooding.  Here, water rescues occurred in the area of the Trolley Stop Inn, with 27 persons requiring rescue. Water rescues were conducted from Scott Township to Bridgeville Borough. One female was killed in Bridgeville Borough. She left her trapped car and was swept away by flood waters. Bethel Park submitted a municipal disaster declaration. ||In Westmoreland County, flash floods and heavy rains occurred throughout the Ligonier Borough, Ligonier Township, Cook Township areas of the of the Loyalhanna and Mill Creek watershed in Westmoreland County causing localized flooding, road closures, wires down, and requiring multiple water rescues to be conducted of individuals in vehicles in flooded roadways. The Ligonier Valley area in eastern Westmoreland County was especially hard hit by flooded roadways that necessitated water rescues. The Westmoreland County EOC was activated for the flooding.  The Johnstown, Cambria County Fire Department Swift Water Rescue Team was dispatched to assist in Ligonier Township.  Several areas in the county experienced heavy basement flooding and Cook Township had first floor flooding of a residence on Green Hollow Lane that required three occupants to be rescued from a rooftop. Four adults, two children, and one dog were evacuated from two other residences. Residential flooding occurred in the area of Snowman Lane and Blouch Lane that required a water rescue of one resident.",The 911 call center reported that the 1000 block of Washington Avenue has six vehicles stuck in rising flood waters. The Department of Transportation reports that US22 in both directions at exit East I-376/US22 is flooding.,2018,"Episode context: Heavy rain with little, if any, lightning moved along a stationary front in a tropical environment. Moisture was plentiful, with precipitable water values of over 2 inches. Rainfall totals reached levels that were 350% of flash flood guidance, with 1-hour rainfall totals approaching levels that were 350% above guidance and had a 0.5% annual occurrence probability. Allegheny County activated their EOC due to the flooding and severe weather. Numerous flooding incidents were reported, and approximately 66 water rescues were needed throughout the county. Flooding damaged a number of basement foundations. Bethel Park partially activated their EOC for massive flooding. Here, water rescues occurred in the area of the Trolley Stop Inn, with 27 persons requiring rescue. Water rescues were conducted from Scott Township to Bridgeville Borough. One female was killed in Bridgeville Borough. She left her trapped car and was swept away by flood waters. Bethel Park submitted a municipal disaster declaration. ||In Westmoreland County, flash floods and heavy rains occurred throughout the Ligonier Borough, Ligonier Township, Cook Township areas of the of the Loyalhanna and Mill Creek watershed in Westmoreland County causing localized flooding, road closures, wires down, and requiring multiple water rescues to be conducted of individuals in vehicles in flooded roadways. The Ligonier Valley area in eastern Westmoreland County was especially hard hit by flooded roadways that necessitated water rescues. The Westmoreland County EOC was activated for the flooding. The Johnstown, Cambria County Fire Department Swift Water Rescue Team was dispatched to assist in Ligonier Township. Several areas in the county experienced heavy basement flooding and Cook Township had first floor flooding of a residence on Green Hollow Lane that required three occupants to be rescued from a rooftop. Four adults, two children, and one dog were evacuated from two other residences. Residential flooding occurred in the area of Snowman Lane and Blouch Lane that required a water rescue of one resident. Event report: The 911 call center reported that the 1000 block of Washington Avenue has six vehicles stuck in rising flood waters. The Department of Transportation reports that US22 in both directions at exit East I-376/US22 is flooding.",episode_128458,1
